game,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
Crokinole,9.0,5.6,7.8,3.6,8.0,8.6,6.6,1.8,2.8,1.8,1.6,4.8,1.8,7.2,4.6,3.2,1.6,2.0,9.0,5.0,8.4,9.8,6.4,2.6,7.0,7.0,10.0,2.0,5.6,6.0,7.0,1.4
Love Letter,8.6,4.0,7.0,7.0,7.4,9.4,5.6,1.8,4.0,1.8,7.0,5.8,2.4,6.4,4.2,5.0,1.6,2.4,9.2,6.8,8.2,1.4,7.0,2.6,5.4,6.2,3.4,5.6,5.0,4.8,5.6,8.4
Skull,9.2,3.2,8.6,4.8,8.0,9.4,5.8,1.2,4.6,1.2,8.6,6.8,1.4,8.6,3.8,3.0,1.4,2.0,9.0,5.2,8.2,1.6,7.2,2.6,7.2,9.2,4.4,5.4,4.8,5.6,7.2,9.2
Codenames,8.2,4.8,7.6,4.6,7.6,9.2,7.6,1.8,2.6,1.4,6.8,7.4,1.4,6.8,3.8,2.6,1.4,2.4,8.8,5.2,8.8,2.6,8.6,1.8,6.4,8.2,4.2,6.8,7.0,7.2,5.4,7.0
Hanabi,8.2,5.6,7.6,5.0,6.6,7.0,6.6,2.8,5.2,2.4,9.4,8.2,1.8,7.8,4.6,3.6,2.2,2.8,7.4,4.8,6.4,1.8,6.8,3.6,6.4,9.0,3.6,8.0,3.6,5.6,6.2,9.8
Cant Stop,8.4,4.6,4.8,8.6,7.8,9.4,5.4,2.2,5.4,2.2,2.6,4.2,2.6,8.4,4.0,3.8,1.6,1.8,9.2,5.8,8.6,2.8,7.6,2.6,6.6,4.2,4.0,2.6,2.6,5.0,7.8,2.4
Azul,8.0,5.6,5.0,4.0,7.2,8.2,6.6,3.8,3.4,3.6,2.6,6.4,3.4,5.6,5.4,5.6,2.6,2.8,8.4,5.2,8.0,8.0,6.8,4.2,4.0,3.6,7.4,3.6,5.0,5.6,3.8,2.2
Hive,8.6,6.8,8.6,1.8,6.8,7.4,7.0,2.4,3.4,2.2,2.8,7.8,1.6,7.6,5.0,3.8,1.4,2.2,8.4,5.6,6.8,10.0,4.0,3.6,5.2,5.0,8.2,8.6,3.4,7.2,6.0,2.4
Catan,5.8,5.0,7.2,8.0,5.4,7.4,6.2,5.0,4.2,5.0,4.0,5.4,3.4,6.0,4.6,6.4,3.6,3.4,6.8,4.4,7.2,7.0,6.8,5.0,5.4,6.6,5.2,3.8,3.6,4.4,5.2,3.4
Dominion,7.0,6.4,3.2,4.6,6.8,6.6,8.6,7.2,2.6,7.4,3.2,8.6,4.4,5.2,5.2,4.4,7.0,4.2,7.8,6.4,6.4,1.4,6.0,6.0,3.8,3.0,3.8,5.2,5.6,7.0,3.4,2.6
7 Wonders,6.0,5.8,5.0,4.8,7.6,6.8,6.6,5.2,3.4,5.6,5.0,5.6,5.4,5.0,5.4,5.0,4.0,5.2,6.4,5.4,6.6,3.0,8.0,4.4,4.4,4.4,4.8,4.2,5.4,5.6,3.8,4.0
Pandemic,7.0,5.8,7.4,6.0,6.2,7.0,6.4,5.4,9.2,5.0,4.8,6.6,2.8,9.0,5.0,6.4,2.8,2.8,6.8,4.8,7.0,6.8,6.8,5.2,7.8,8.8,5.2,6.4,4.4,5.2,8.0,3.4
Secret Hitler,6.0,4.2,8.4,6.6,6.4,6.8,5.6,2.6,6.0,2.4,8.8,6.0,2.4,7.8,4.2,3.8,2.2,3.4,6.8,4.4,6.4,2.0,7.4,4.2,7.8,8.6,4.0,6.0,3.2,5.0,7.8,9.0
Concordia,8.2,6.6,5.2,3.4,7.2,6.6,7.8,6.2,2.4,6.4,3.2,6.4,5.0,5.2,6.0,5.6,4.8,5.2,7.8,5.8,6.8,6.8,6.6,4.4,3.6,3.8,4.8,4.8,6.4,7.4,3.0,2.8
Agricola,5.6,7.6,4.4,5.2,5.2,3.8,8.4,7.8,8.4,7.4,3.4,7.0,4.0,8.8,7.0,9.4,7.4,6.0,5.6,6.0,4.2,5.4,6.0,5.8,6.4,5.0,5.2,5.4,2.0,6.6,6.6,3.0
Brass Birmingham,6.0,7.6,7.4,4.0,5.0,3.4,8.2,8.4,4.8,8.6,4.4,7.8,6.0,7.2,6.4,7.2,6.2,5.2,5.4,5.8,3.0,5.8,6.0,7.0,6.0,6.0,5.0,6.0,3.6,7.4,5.6,3.6
Spirit Island,5.2,7.6,7.0,5.0,4.2,2.8,8.2,7.6,9.0,6.6,5.0,8.6,5.2,8.8,6.8,6.2,4.8,5.4,4.4,5.6,2.8,7.4,6.4,6.2,8.2,7.6,5.4,7.0,3.8,7.4,8.2,4.6
Chess,9.2,7.6,9.8,0.4,5.6,6.6,9.6,3.0,4.6,2.4,6.4,8.6,1.4,9.6,5.6,3.4,1.6,2.8,9.6,5.6,6.4,10.0,4.4,5.8,7.0,6.4,7.2,8.8,1.2,6.2,7.4,2.0
CRUCIBLE,6.4,7.6,6.8,4.6,5.6,4.4,7.6,7.8,7.0,6.8,4.6,7.6,5.2,7.8,6.4,6.8,5.4,5.0,6.4,5.8,4.4,5.4,5.6,6.2,6.2,5.4,4.4,6.4,3.8,6.6,6.4,4.2
HAUL,6.2,7.0,7.0,5.2,6.0,5.2,7.0,6.8,6.2,6.2,4.8,7.0,4.8,7.4,5.8,6.2,4.8,4.6,6.6,5.6,5.0,5.4,6.0,5.4,5.6,5.2,4.4,5.8,4.4,6.6,6.0,4.2
