game,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
Crokinole,9,5,9,4,8,9,6,1,2,1,2,3,1,7,3,2,1,1,9,5,8,10,7,3,7,6,10,1,6,4,5,2
Love Letter,8,3,7,7,9,9,5,1,2,1,8,4,2,6,4,3,1,1,9,8,8,1,7,2,5,5,4,5,7,5,4,9
Skull,9,3,8,3,9,9,4,1,3,1,9,5,1,8,3,2,1,1,9,4,7,1,7,2,6,9,6,4,8,4,6,10
Codenames,8,4,7,5,8,9,7,1,2,1,7,7,1,6,3,2,1,1,9,5,9,2,8,2,5,8,5,6,9,7,3,7
Hanabi,9,5,8,5,7,7,5,2,4,2,10,8,1,7,4,3,1,1,8,5,7,1,6,4,7,9,4,7,5,5,6,10
Can't Stop,9,4,4,9,8,9,5,1,3,2,5,3,2,9,4,3,1,1,9,6,8,3,8,4,7,3,6,2,3,5,8,4
Azul,8,6,5,5,8,8,7,3,2,3,4,7,3,6,5,6,2,2,8,6,8,8,7,6,5,3,9,2,5,5,4,3
Hive,8,7,9,3,6,7,7,2,3,1,7,8,2,8,5,3,1,1,7,5,7,10,5,7,6,4,8,7,4,7,6,3
Catan,6,5,9,8,5,8,6,5,4,5,4,5,4,6,5,6,3,3,7,3,8,8,8,6,6,7,6,4,3,4,7,4
Dominion,7,6,3,5,7,7,9,8,3,7,5,9,5,6,6,5,7,4,8,6,7,1,6,7,4,3,5,5,6,8,3,4
7 Wonders,6,6,5,5,9,8,7,5,3,6,6,6,7,5,6,5,3,7,7,6,8,2,10,6,5,4,6,4,6,6,4,5
Pandemic,7,6,9,5,6,8,6,5,9,4,5,7,2,9,5,6,2,1,7,5,8,7,8,6,8,9,7,6,3,5,9,4
Secret Hitler,6,3,8,7,6,7,5,1,4,1,10,6,1,8,4,3,1,1,7,3,7,1,8,7,9,10,5,6,2,5,10,10
Concordia,9,7,6,5,8,8,9,7,3,7,4,7,5,6,7,6,4,5,8,7,8,7,8,5,4,3,6,5,7,8,2,4
Agricola,6,8,5,6,5,4,9,9,9,8,3,7,4,10,7,10,9,6,6,8,5,7,7,7,8,5,7,4,2,6,8,3
Brass Birmingham,7,9,9,5,5,3,10,10,6,10,4,10,7,9,8,9,7,4,6,7,3,8,7,9,7,5,7,6,2,8,6,3
Spirit Island,5,9,9,5,4,2,9,9,10,8,4,10,5,10,8,7,6,4,4,7,3,10,7,8,9,8,8,7,3,9,10,4
Chess,10,8,10,1,5,9,10,4,5,2,10,10,1,10,6,3,1,1,10,4,9,10,4,10,8,4,9,8,1,9,7,1
CRUCIBLE,8,9,7,5,6,4,9,10,8,9,4,9,6,9,8,8,8,5,7,8,4,6,6,9,8,5,6,7,3,7,8,4
HAUL,7,8,8,5,6,5,8,9,7,8,5,9,6,9,7,7,7,4,7,7,5,7,7,8,7,5,6,6,4,7,7,4
