game_num,type,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
1,crokinole,9,5,8,4,7,9,7,2,3,2,2,5,2,8,5,3,1,1,9,6,7,10,6,3,7,7,10,2,6,6,9,1
2,love-letter,10,4,8,7,6,10,7,2,4,1,6,7,3,7,3,6,1,1,10,8,8,2,8,4,6,8,3,5,7,5,8,8
3,skull,10,3,9,5,8,10,7,1,2,1,8,8,1,10,4,2,1,1,9,7,9,3,6,3,9,10,5,7,7,7,10,9
4,codenames,9,5,9,5,7,10,9,1,2,1,7,8,1,9,4,2,1,1,10,5,10,4,8,1,8,9,6,8,8,8,9,6
5,hanabi,9,6,10,5,6,7,6,3,5,2,9,8,1,9,3,3,2,1,8,6,6,3,6,4,5,9,5,9,4,6,7,10
6,cant-stop,8,5,6,8,8,10,6,3,6,2,2,6,3,9,3,4,1,1,9,7,8,4,7,3,5,5,4,3,3,5,9,2
7,azul,8,6,5,4,6,9,7,4,4,4,2,7,5,6,6,5,2,2,9,5,7,9,6,5,3,3,8,4,5,6,4,1
8,hive,9,7,10,2,6,8,7,3,3,2,2,9,1,9,4,3,1,1,8,7,5,10,2,2,4,5,9,9,4,8,7,3
9,catan,6,6,8,8,5,7,7,6,5,5,4,5,4,7,5,7,3,3,6,5,6,9,5,6,5,7,6,4,4,5,5,3
10,dominion,7,7,4,5,6,6,9,7,3,7,3,8,5,6,5,4,6,4,8,6,5,2,5,7,3,3,3,6,4,7,4,2
11,7-wonders,7,7,5,5,8,7,7,6,2,6,5,5,7,6,5,5,4,6,7,5,7,4,8,5,4,4,4,5,5,5,3,3
12,pandemic,7,6,9,6,6,7,7,5,9,6,5,6,3,10,3,6,2,2,7,5,7,8,7,6,8,8,5,7,7,5,8,2
13,secret-hitler,7,4,10,6,7,8,6,2,7,2,10,6,2,10,3,3,1,1,7,5,9,2,7,3,10,10,4,9,5,6,10,10
14,concordia,7,7,5,3,6,5,7,6,2,6,3,6,7,5,6,6,5,6,8,5,6,9,5,5,3,3,3,5,6,7,3,2
15,agricola,6,8,4,6,5,3,8,8,9,8,3,7,4,8,8,9,7,6,5,4,5,7,5,6,4,3,3,7,1,8,3,2
16,brass-birmingham,6,9,8,5,5,2,8,9,5,9,5,7,6,8,7,8,3,5,6,3,4,8,4,7,4,4,3,7,3,8,5,2
17,spirit-island,5,9,9,4,4,3,9,9,10,7,6,9,4,10,5,6,3,3,6,3,5,9,6,7,9,7,4,9,3,9,9,3
18,chess,8,7,9,0,5,6,9,2,2,1,10,7,1,10,2,2,1,1,9,4,3,10,4,4,6,8,7,9,1,9,8,2
19,crucible,5,8,7,5,5,3,7,8,8,6,5,7,6,8,6,7,4,4,6,4,4,6,4,6,5,4,3,7,3,7,6,3
20,haul,5,8,7,5,5,3,7,8,7,6,5,7,6,8,6,7,4,4,6,4,4,6,4,6,5,4,3,7,3,7,6,3
