game,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
Crokinole,9,5,7,5,8,9,7,2,3,2,2,6,2,7,6,4,2,3,9,4,9,10,7,2,7,8,10,1,5,8,8,2
Love Letter,8,4,7,7,7,9,5,2,5,3,7,6,2,6,5,5,2,3,9,3,9,1,6,2,5,7,4,7,3,5,6,9
Skull,8,3,9,5,7,9,6,2,6,2,9,7,2,8,5,3,2,4,9,3,9,1,8,2,7,9,3,5,3,6,7,9
Codenames,8,4,8,4,7,9,7,3,4,2,6,7,2,6,5,3,2,5,9,3,9,2,9,2,6,8,4,6,6,8,5,8
Hanabi,7,5,9,5,6,7,6,3,5,3,9,7,2,7,6,4,3,5,8,3,7,2,7,3,6,9,3,7,2,5,6,9
Can't Stop,8,4,5,8,7,9,6,2,7,3,2,5,3,9,4,3,2,3,9,3,9,2,8,2,7,5,4,1,1,6,9,2
Azul,8,5,5,4,7,8,6,4,3,4,3,6,3,5,6,6,4,4,8,4,8,8,7,3,2,4,5,3,5,6,3,2
Hive,8,6,8,2,6,7,7,2,4,3,3,7,2,6,6,5,2,5,9,4,5,10,4,3,4,6,7,8,3,7,5,4
Catan,6,5,7,8,6,7,6,5,4,5,5,7,3,6,4,6,5,4,7,4,7,5,7,4,5,7,4,3,3,4,5,4
Dominion,7,6,3,4,7,7,8,7,2,7,3,8,3,5,4,4,7,5,8,6,6,1,7,5,3,3,4,4,7,8,3,2
7 Wonders,7,6,5,4,8,7,7,6,3,6,5,6,5,5,5,5,5,5,7,5,6,3,9,4,3,4,4,3,6,7,3,3
Pandemic,7,5,4,7,6,7,6,5,9,5,6,6,3,9,5,6,3,4,7,4,7,6,6,4,7,9,4,6,5,5,8,4
Secret Hitler,7,4,10,6,7,7,7,3,7,2,10,6,2,8,5,3,2,5,8,3,8,1,7,2,9,8,3,7,2,6,9,10
Concordia,9,6,5,3,8,7,8,6,2,6,4,6,4,5,5,5,5,4,8,5,6,5,7,4,3,4,5,4,7,8,3,3
Agricola,6,8,4,5,6,4,8,7,9,7,5,7,4,9,7,9,7,7,6,7,3,4,6,5,7,5,5,5,2,7,8,4
Brass Birmingham,8,8,8,3,6,3,9,9,3,9,5,8,6,7,5,7,4,5,7,6,2,5,6,6,6,7,5,6,4,9,6,4
Spirit Island,7,7,6,6,5,3,9,7,10,7,7,9,6,10,7,6,5,7,6,5,2,6,7,5,9,8,5,7,3,9,9,5
Chess,9,7,10,1,6,8,9,3,4,4,10,10,2,9,6,4,2,8,9,7,6,10,2,5,6,7,6,9,1,5,7,6
CRUCIBLE,7,7,7,4,6,5,7,7,7,6,6,7,5,8,6,7,5,6,7,5,4,5,6,5,6,6,4,6,4,7,7,5
HAUL,7,6,6,5,7,6,7,6,5,6,5,6,4,7,5,6,4,5,7,5,5,4,6,4,5,6,4,5,5,7,6,4
